,BTC-USD,ETH-USD,BNB-USD,USDT-USD,ADA-USD,XRP-USD,SOL-USD,DOGE-USD,SHIB-USD,DOT-USD,DAI-USD,MATIC-USD,ATOM-USD,UNI-USD,APE-USD
2022-12-31 00:00:00,,,,,,,,,,,,,,,
2022-12-31 01:00:00,-0.001534266672526333,-0.0012496937777582528,0.0003561362995409967,4.113977569644263e-06,-0.0007899502400424891,-0.0038127459673107022,-0.01183169294865862,-0.0020280608884203095,-0.0005035340380882055,-0.0023215080060440102,9.454148697309939e-05,-0.003360562288882423,-0.004321034974075329,-0.0015341443648693547,0.0
2022-12-31 02:00:00,0.000675042321804816,0.0003422872355541012,0.0010281263140716535,-2.2597274036345855e-05,0.0014690358873158502,-1.4839800642549775e-06,-0.00017927069452580794,0.005140805105355604,0.001061381524316892,0.0017981874102717386,5.2870188113584904e-05,0.00043459829052704666,0.000664375476325758,0.0006749829974478649,0.0
2022-12-31 03:00:00,-0.0014930076099008453,-0.0019625267087215723,-0.001618774281114743,4.584987255989615e-05,-0.001900850434152677,-0.001824516046664782,-0.006968897826104512,-0.0038669671709974846,-0.0012337132495721128,-0.0019247632170506384,-0.00045064852506366204,-0.0019009230696683634,-0.0012425188663729948,-0.0014929899105855927,0.0
2022-12-31 04:00:00,-3.939428573422755e-05,0.0006121721974700713,-0.000776505483507476,-4.7578972607193335e-05,0.000856754107906002,0.000827482174529216,-0.006742518518255743,-0.0006953434027392915,-0.0020224412550799518,0.001709244084093078,8.34829317666972e-06,-0.0007596171403558616,0.001904924883905629,-3.947157159425814e-05,0.0
2022-12-31 05:00:00,-0.0006342964878481271,-0.000959934431728602,0.0006521435181832,3.338898960229512e-05,-0.0025795392079716456,-0.00043524754079618034,0.0031938655361181847,-0.0010149326923235798,-0.002652641367192507,-0.0005789202967264659,0.0003337553698344711,-0.001272256376382028,0.001279334155093354,-0.0006342486099339698,0.0
2022-12-31 06:00:00,0.00010161360885217114,0.0004619538871975173,-0.0014415143120924845,-2.0987234753714434e-05,0.0005915902275234789,0.002078477320384579,0.002415165197789318,0.000268457124811921,-2.9424939356587997e-06,0.000488858604406337,4.375316302092291e-05,0.0012924278719164328,-0.0008419118226699228,0.00010163284122685634,0.0
2022-12-31 07:00:00,0.0010555333053372004,0.00112151046033804,0.0017397457904633495,-1.4548228032092663e-05,0.0007706082738616276,0.002053272585816171,0.0074768680334458115,0.015356252203400091,0.0035729322618925467,0.0041739259608761636,5.173832734118712e-05,0.0031739847282156127,-0.0013525123540475464,0.0010555791857436627,0.0
2022-12-31 08:00:00,-0.000252311362046619,8.1614797741746e-06,-0.00016827638478877493,-2.3253511482030995e-06,0.002436663002656763,0.00046495403345764893,-0.002411255553872525,0.009812234717596971,0.0061726252407248855,0.000977435513330098,-0.00033575073780254486,0.0014134284627775873,0.0006943707367309484,-0.0002524057066166936,0.0
2022-12-31 09:00:00,-0.0007413854976015146,0.00012343425952918597,-9.390655534003808e-05,5.938419663064647e-05,0.003911470766542178,8.675239961312774e-05,0.00157057005597818,-0.002639178240060527,-0.0019353970440394068,0.00017853117639850537,-8.287887339114e-06,-0.0006826041660046976,-0.001452908131474427,-0.0007424331868302494,0.0
2022-12-31 10:00:00,0.0008934873509552333,0.0013430200638314353,0.0021116047440443747,-9.956742722598707e-06,0.00207697698252242,0.004018288137353131,0.00785758780281109,0.004771137606138004,0.002178683212694945,0.0010097589298831864,0.00048845069052909,0.0035846631513312206,0.0029015713096803924,0.0008945577107827366,0.0
